Nr,ID,POINT_X,POINT_Y,Sand,Silt,Clay,Ca,set
388,A759,756689.375,7520698.5,88,2,10,8,cal_candidate
401,A761,756887.0,7520902.5,86,2,12,7,cal_candidate
415,A765,757191.938,7520606.0,86,4,10,5,cal_candidate
425,A767,756909.375,7520003.0,72,8,20,15,cal_candidate
431,A769,757005.5,7520107.0,84,6,10,11,cal_candidate
432,A771,757109.188,7520109.0,86,4,10,12,cal_candidate
445,A773,757496.188,7520312.5,84,6,10,8,cal_candidate
449,A775,757906.813,7520323.0,82,8,10,9,cal_candidate
450,A777,757997.188,7520316.5,86,4,10,8,cal_candidate
19,A779,758497.125,7520328.0,88,2,10,8,cal_candidate
232,A781,756612.25,7519297.0,73,7,20,13,cal_candidate
233,A783,756710.5,7519298.0,80,6,14,20,cal_candidate
260,A785,756913.563,7519202.0,86,2,12,7,cal_candidate
265,A787,756413.938,7519194.0,74,8,18,12,cal_candidate
283,A791,757714.25,7519015.0,86,4,10,21,cal_candidate
290,A793,757614.938,7518925.0,84,6,10,15,cal_candidate
304,A795,756608.375,7519798.5,53,14,33,33,cal_candidate
306,A797,756803.563,7519803.0,82,4,14,11,cal_candidate
323,A799,756510.125,7519997.0,55,14,31,25,cal_candidate
362,A805,755994.0,7520489.0,84,4,12,4,cal_candidate
364,A807,756194.0,7520391.5,68,8,24,12,cal_candidate
365,A809,756294.938,7520389.0,78,4,18,9,cal_candidate
367,A811,756493.625,7520395.5,80,6,14,10,cal_candidate
369,A813,756695.063,7520398.5,68,8,24,19,cal_candidate
372,A815,756893.875,7520502.5,82,4,14,6,cal_candidate
374,A817,756693.25,7520500.0,88,2,10,6,cal_candidate
385,A821,756890.563,7520602.0,86,4,10,9,cal_candidate
394,A823,756887.875,7520803.0,84,4,12,8,cal_candidate
419,A825,757197.875,7520506.0,70,8,22,13,cal_candidate
430,A827,756909.5,7520108.0,64,10,26,24,cal_candidate
435,A829,757206.25,7520211.5,84,4,12,9,cal_candidate
441,A831,757092.625,7520308.0,82,6,12,18,cal_candidate
442,A833,757195.563,7520312.5,84,4,12,13,cal_candidate
443,A835,757293.063,7520307.5,86,4,10,13,cal_candidate
444,A837,757395.688,7520311.0,86,4,10,13,cal_candidate
456,A841,757496.125,7520411.5,76,6,18,11,cal_candidate
459,A843,757191.75,7520408.0,74,6,20,15,cal_candidate
12,A845,758197.813,7520624.5,82,4,14,11,cal_candidate
17,A849,758394.313,7520325.0,78,4,18,14,cal_candidate
21,A853,758599.688,7520329.5,80,4,16,51,cal_candidate
23,A855,758581.25,7520131.0,92,2,6,4,cal_candidate
26,A857,758713.5,7520032.0,88,2,10,7,cal_candidate
28,A859,758806.813,7520136.5,86,2,12,9,cal_candidate
39,A865,759007.75,7519734.5,84,4,12,11,cal_candidate
56,A869,758711.625,7519930.5,86,2,12,13,cal_candidate
57,A871,758709.188,7519834.0,86,4,10,6,cal_candidate
58,A873,758702.438,7519729.0,88,2,10,17,cal_candidate
72,A877,758604.063,7519926.5,94,2,4,10,cal_candidate
103,A879,758178.063,7520224.0,72,6,22,9,cal_candidate
125,A881,757711.75,7520016.5,82,4,14,13,cal_candidate
126,A883,757610.938,7520016.0,82,4,14,7,cal_candidate
128,A887,757411.313,7520014.0,80,6,14,7,cal_candidate
129,A889,757309.5,7520011.5,80,4,16,11,cal_candidate
131,A891,757410.75,7519915.0,82,2,16,7,cal_candidate
132,A893,757512.813,7519912.5,84,2,14,13,cal_candidate
133,A895,757600.75,7519919.5,82,2,16,8,cal_candidate
143,A899,757901.25,7519817.0,84,4,12,8,cal_candidate
145,A903,757699.375,7519816.5,80,6,14,11,cal_candidate
212,A905,757908.313,7519417.0,80,4,16,10,cal_candidate
242,A909,757711.688,7519313.5,84,2,14,9,cal_candidate
243,A911,757811.125,7519320.5,88,2,10,17,cal_candidate
244,A913,757911.625,7519318.5,84,4,12,24,cal_candidate
251,A915,757915.25,7519218.5,88,4,8,18,cal_candidate
273,A917,757815.688,7519115.0,90,4,6,11,cal_candidate
278,A919,758212.625,7519026.0,84,2,14,7,cal_candidate
279,A921,758114.0,7519024.0,86,2,12,20,cal_candidate
292,A923,757916.438,7518917.5,92,2,6,9,cal_candidate
309,A925,757102.375,7519806.0,86,2,12,10,cal_candidate
377,A927,756292.938,7520490.0,82,4,14,9,cal_candidate
400,A931,756988.813,7520903.5,90,2,8,7,cal_candidate
404,A933,756984.063,7521003.5,88,2,10,3,cal_candidate
414,A935,757291.25,7520609.0,86,4,10,7,cal_candidate
436,A939,757106.625,7520209.0,80,6,14,10,cal_candidate
454,A941,757692.313,7520416.5,86,2,12,9,cal_candidate
