"Nr","ID","POINT_X","POINT_Y","Sand","Silt","Clay","Ca","set"
582,"B243",758112.375,7520023.5,76,2,22,5,"cal_candidate"
122,"A245",758008.688,7520022.5,74,6,20,14,"validation"
583,"B245",758008.688,7520022.5,72,4,24,6,"validation"
123,"A247",757906.813,7520021,78,6,16,16,"cal_candidate"
584,"B247",757906.813,7520021,80,2,18,3,"cal_candidate"
124,"A249",757805.938,7520023,80,4,16,16,"cal_candidate"
585,"B249",757805.938,7520023,80,2,18,4,"cal_candidate"
130,"A251",757311.563,7519911.5,82,4,14,14,"cal_candidate"
591,"B251",757311.563,7519911.5,82,2,16,4,"cal_candidate"
134,"A253",757712.688,7519919.5,80,4,16,12,"validation"
595,"B253",757712.688,7519919.5,82,2,16,2,"validation"
135,"A255",757811.688,7519918.5,80,4,16,12,"cal_candidate"
596,"B255",757811.688,7519918.5,82,2,16,8,"cal_candidate"
136,"A257",757912.25,7519920,82,4,14,14,"cal_candidate"
597,"B257",757912.25,7519920,82,2,16,5,"cal_candidate"
137,"A259",758012.375,7519922.5,70,6,24,14,"cal_candidate"
598,"B259",758012.375,7519922.5,74,2,24,3,"cal_candidate"
138,"A261",758110.5,7519924.5,74,4,22,11,"cal_candidate"
599,"B261",758110.5,7519924.5,78,2,20,3,"cal_candidate"
140,"A263",758206.5,7519827,78,8,14,16,"cal_candidate"
601,"B263",758206.5,7519827,80,2,18,2,"cal_candidate"
142,"A265",758007.438,7519823.5,74,8,18,15,"validation"
603,"B265",758007.438,7519823.5,76,2,22,1,"validation"
146,"A267",757608.875,7519813.5,82,4,14,10,"cal_candidate"
607,"B267",757608.875,7519813.5,82,2,16,3,"cal_candidate"
147,"A269",757505.688,7519812.5,82,4,14,6,"validation"
608,"B269",757505.688,7519812.5,82,2,16,3,"validation"
148,"A271",757401.875,7519808.5,80,4,16,15,"cal_candidate"
609,"B271",757401.875,7519808.5,82,2,16,1,"cal_candidate"
149,"A273",757300.563,7519808,80,2,18,8,"cal_candidate"
610,"B273",757300.563,7519808,80,2,18,2,"cal_candidate"
150,"A275",757205.313,7519704.5,80,4,16,8,"cal_candidate"
611,"B275",757205.313,7519704.5,82,2,16,2,"cal_candidate"
151,"A277",757306.188,7519707.5,80,2,18,13,"validation"
612,"B277",757306.188,7519707.5,82,2,16,4,"validation"
152,"A279",757409.75,7519709,80,2,18,12,"validation"
613,"B279",757409.75,7519709,78,4,18,1,"validation"
153,"A281",757506.813,7519711.5,80,2,18,6,"validation"
614,"B281",757506.813,7519711.5,82,2,16,2,"validation"
154,"A283",757602.688,7519714,78,2,20,11,"validation"
615,"B283",757602.688,7519714,80,2,18,2,"validation"
155,"A285",757705.438,7519714.5,78,2,20,12,"cal_candidate"
616,"B285",757705.438,7519714.5,76,4,20,3,"cal_candidate"
156,"A287",757802.625,7519720.5,76,4,20,61,"cal_candidate"
617,"B287",757802.625,7519720.5,78,2,20,11,"cal_candidate"
157,"A289",757911.25,7519724.5,80,4,16,13,"cal_candidate"
618,"B289",757911.25,7519724.5,80,2,18,2,"cal_candidate"
160,"A291",758203.875,7519721,76,2,22,14,"cal_candidate"
621,"B291",758203.875,7519721,74,4,22,1,"cal_candidate"
161,"A293",758211.438,7519617.5,70,6,24,21,"cal_candidate"
622,"B293",758211.438,7519617.5,64,6,30,2,"cal_candidate"
163,"A295",758009.313,7519617,80,2,18,13,"validation"
624,"B295",758009.313,7519617,78,2,20,2,"validation"
164,"A297",757908.313,7519620,76,4,20,13,"validation"
625,"B297",757908.313,7519620,74,2,24,2,"validation"
166,"A299",757705.5,7519612.5,80,4,16,14,"cal_candidate"
627,"B299",757705.5,7519612.5,78,2,20,1,"cal_candidate"
167,"A301",757605.563,7519611,80,2,18,8,"cal_candidate"
628,"B301",757605.563,7519611,78,2,20,1,"cal_candidate"
168,"A303",757506.938,7519612,80,4,16,10,"cal_candidate"
169,"A305",757405.75,7519607.5,80,2,18,6,"validation"
629,"B305",757405.75,7519607.5,76,2,22,1,"validation"
170,"A307",757307.375,7519606.5,82,2,16,9,"validation"
630,"B307",757307.375,7519606.5,80,2,18,1,"validation"
171,"A309",757209,7519606,84,2,14,11,"cal_candidate"
631,"B309",757209,7519606,78,2,20,1,"cal_candidate"
172,"A311",757106.938,7519606,82,4,14,7,"cal_candidate"
632,"B311",757106.938,7519606,72,6,22,1,"cal_candidate"
173,"A313",757006.188,7519603,76,4,20,6,"cal_candidate"
633,"B313",757006.188,7519603,76,2,22,1,"cal_candidate"
174,"A315",756900.438,7519598.5,80,4,16,5,"cal_candidate"
634,"B315",756900.438,7519598.5,78,2,20,5,"cal_candidate"
193,"A317",756708.75,7519498.5,80,4,16,4,"cal_candidate"
653,"B317",756708.75,7519498.5,74,2,24,11,"cal_candidate"
194,"A319",756808.125,7519498.5,82,2,16,8,"validation"
654,"B319",756808.125,7519498.5,80,2,18,1,"validation"
195,"A321",756906.938,7519499.5,82,2,16,7,"cal_candidate"
655,"B321",756906.938,7519499.5,80,2,18,4,"cal_candidate"
196,"A323",757007.188,7519501,82,2,16,7,"cal_candidate"
656,"B323",757007.188,7519501,82,2,16,1,"cal_candidate"
197,"A325",757110.375,7519507.5,82,2,16,6,"cal_candidate"
657,"B325",757110.375,7519507.5,82,2,16,1,"cal_candidate"
198,"A327",757208.25,7519507,80,2,18,6,"cal_candidate"
658,"B327",757208.25,7519507,82,2,16,1,"cal_candidate"
199,"A329",757310.313,7519506.5,82,2,16,8,"cal_candidate"
659,"B329",757310.313,7519506.5,80,2,18,1,"cal_candidate"
200,"A331",757410.438,7519509,76,4,20,10,"cal_candidate"
201,"A333",757509.438,7519512,78,4,18,14,"validation"
660,"B333",757509.438,7519512,80,2,18,1,"validation"
202,"A335",757606.063,7519514,78,2,20,10,"cal_candidate"
661,"B335",757606.063,7519514,76,4,20,1,"cal_candidate"
